Author, Title, Description, Reviewer Twitter,Initials, Website
"Daniel Rachel", "Don't Look Back In Anger", "Oral history of Britpop that shows really well how the combination of art, politics, music and drugs all intertwined to create and eventually destroy that scene.",https://twitter.com/eavie_rose, "(EP)", https://www.roughtrade.com/gb/daniel-rachel/don-t-look-back-in-anger-the-rise-and-fall-of-cool-britannia-told-by-those-who-were-there-signed-copies
"Goldie","All Things Remembered", "Goldie’s autobiography rocks and swirls from unbelievable anecdote to intimate self-analysis and back again; if you’ve ever been in his company for more than two minutes, you’ll know his mind works in a wonderfully unique, free-wheeling way. Absolutely one-of-a-kind.",https://twitter.com/Mr_Dave_Haslam, "(DH)", https://www.welbooks.co.uk
"Grace Maxwell", "Falling & Laughing: The Restoration of Edwyn Collins", "Edwyn Collins's wife and manager Grace Maxwell tells the story of her fight to help Edwyn back on his feet after two massive strokes (often against medical advice) and, against all prognoses, back on stage.",https://twitter.com/petepaphides, "(PP)", http://www.ebbandflobookshop.co.uk/
"Greg Milner", "Perfecting Sound Forever", "Milner's expansive history of recorded sound is full of great stories and also underlines the fact that the vinyl vs digital debate has, in essence, always been with us – only the names have been changed",https://twitter.com/petepaphides, "(PP)", https://to-be-read.co.uk/
"Ian Penman", "It Gets Me Home, This Curving Track", "Penman is one of the first music writers I followed religiously. This 2019 collection of recent essays has so much breadth and depth and food for thought. The chapter on Charlie Parker is incredible, and his writing on Mods will make you shudder with delight.",https://twitter.com/Mr_Dave_Haslam, "(DH)", https://fitzcarraldoeditions.com/books/it-gets-me-home-this-curving-track
"Jon Savage", "England's Dreaming", "Social history as much as a music book. Art history too. And punk history; definitively", https://twitter.com/rocking_bob, "(BS)", https://www.roughtrade.com/gb/jon-savage/england-s-dreaming-faber-modern-classics
"Julian Cope", "Head On/Repossessed", "From newly-arrived outsider of Liverpool's competitive post-punk scene to bona fide pop star, Cope's gonzoid account of his time The Teardrop Explodes is a riotous read.",https://twitter.com/petepaphides, "(PP)", http://www.claphambooks.com/
"Lloyd Bradley", "Bass Culture", "You can devote your entire life to reggae collecting and still not unearth every single amazing track recorded in a tiny section of Kingston during a period of a few years, but for both beginners and longtime fans, Lloyd Bradley's comprehensive history of reggae is an essential accessory.", https://twitter.com/petepaphides,"(PP)", https://www.foxlanebooks.co.uk/
"Mark Lanegan", "Sing Backwards and Weep", "Seriously, you don’t even have to be half a fan of the front man of the Screaming Trees to enjoy his autobiography. He stumbles from messed-up life experiences, heavy drugs, relentless score-settling, and unlovable madness in a raw and almost ridiculous way. You might hate him for most of the book but you’ll be rooting for him by the end.", , "",  https://www.roughtrade.com/gb/mark-lanegan/sing-backwards-and-weep
"Nick Tosches", "Hellfire","The best book on first wave rock'n'roll because it has the mania and ferocity of a Jerry Lee Lewis song.",https://twitter.com/rocking_bob, "(BS)", https://www.foxlanebooks.co.uk/
"Nik Cohn", "Awopbopaloobop Alopbamboom", "Pop From The Beginning' as it was originally titled, written in 1969. Reads like pinball. Endlessly inspiring.", https://twitter.com/rocking_bob,"(BS)", https://www.linghams.co.uk/
"Nile Rodgers", "Le Freak", "Rodgers hits the ground running with a dysfunctional childhood that could have borne the weight of a sizzling memoir irrespective of what followed. But Le Freak establishes even greater velocity when Chic germinates from a beautiful idea into a world-beating musical brand.",https://twitter.com/petepaphides,"(PP)", http://www.claphambooks.com/
"Pete Waterman",  "I Wish I Was Me", "Bill Drummond's secret twin, and how he became the King Of Pop.",https://twitter.com/rocking_bob, "(BS)",  https://www.foxlanebooks.co.uk/
"Peter Guralnick", "Last Train To Memphis’ & ’Careless Love", "The life of Elvis, over two volumes. The greatest story ever told.",https://twitter.com/rocking_bob, "(BS)", https://www.linghams.co.uk/
"Peter Shapiro", "Turn The Beat Around", "The glorious, boundary-trashing story of disco.",https://twitter.com/rocking_bob ,(BS), http://www.ebbandflobookshop.co.uk/
"Robert Forster", "Grant & I", "A story about the friendship that turned Robert Forster's teenage pop fantasy into a reality. Grant McLennan's tenure in The Go-Betweens was a consequence of the potential Forster saw in him. And the latter's tender telling of their escape from (and subsequent return to) Australia is surely an art-house buddy movie waiting to be made.", https://twitter.com/petepaphides,"(PP)", https://www.roughtrade.com/gb/robert-forster/grant-and-i-inside-and-outside-the-go-betweens
"Simon Goddard", "Simply Thrilled: The Preposterous Story of Postcard Records", "Goddard's joyous, chaotic, hilarious telling of label that brought the likes of Orange Juice, Aztec Camera, and the Go-Betweens to wider attention.", https://twitter.com/petepaphides,"(PP)", https://www.foxlanebooks.co.uk/
"Stephen Morris", "Record Play Pause", "There’s a mountain of excellent books about Joy Division and New Order, Factory and The Hacienda. The recent Jon Savage oral history of Joy Division, Bernard Sumner’s autobiography, Deborah Curtis ‘Touching From A Distance’, ‘Shadowplayers’ by James Nice, not forgetting Peter Hook’s various books, including ‘How Not to Run a Club’ (I have a walk on and then walk off part in the latter). Stephen’s book is funny, informative, honest, but also very heartfelt (with a sequel due later this year).", https://twitter.com/Mr_Dave_Haslam,"(DH)","https://cover-to-cover.co.uk"
"Steve Hanley", "The Big Midweek", "Same as Dave says about Joy Division etc. So many great books about the Fall, not least those by Brix Smith, Dave Simpson and Si Wolstencroft, and Paul Hanley’s recent book about the making of the Hex Enduction Hour album. Steve Hanley’s is an incredible insider account of his year in the Fall, but also conjures so well what it’s like touring, being backstage and onstage in a band, and captures so many of the frustrations too. He survived!",https://twitter.com/Tim_Burgess ,"(TB)", http://www.route-online.com/all-books/the-big-midweek-life-inside-the-fall.html
"Stuart Cosgrove", "Detroit 67: The Year That Changed Soul", "Majestic book, and so inspiring. A document of an era, and a city. A must for anyone into black music, dance music; music full stop.", https://twitter.com/Mr_Dave_Haslam, "(DH)",  https://to-be-read.co.uk/
"Sylvia Patterson", "I’m Not With the Band: A Writer’s Life Lost in Music", "Pop music’s hypocrisy and bad lad behaviour laid bare for all to see in this glorious memoir of interviewing musicians. Sylvia has a great style and a clear-eyed behind-the-scenes perspective.", https://twitter.com/Tim_Burgess,(TB),https://to-be-read.co.uk/
"Tom Doyle", "Man On The Run: Paul McCartney in the 1970s", "As a biographer Doyle is quite Macca-like in his approach, the craft and cleverness in his writing is hidden and designed not to be noticed. This account of his first decade as an ex-Fab is empathetic but not uncritical. I tore through it. (PP) In a way, I felt it was easier to get into the head of Paul in ‘Man On The Run’, rather than with any Beatles books, because it showed you how he defined himself in the years immediately after The Beatles, and the character it took for him to do that.",https://twitter.com/eavie_rose, "(EP)", https://www.linghams.co.uk/
"Tracey Thorn","Bedsit Disco Queen", "Tracey’s a great writer; we knew that from her songwriting. This is first book, from a few years ago now; she can do books as well! This takes us from her early days and first bands through the evolutions of Everything But the Girl with great honesty and gorgeous sentences.",https://twitter.com/Mr_Dave_Haslam," (DH)", http://www.book-ish.co.uk/
"Viv Albertine", "Clothes Clothes Clothes, Music Music Music, Boys Boys Boys", "She essentially starts off as a musician's girlfriend before forming The Slits and, by doing so, helps to start a movement (and influence several more). I love the way she just wings it and does everything in her own style – and the surrounding cast of characters is just amazing.",,"(EP)", http://www.ebbandflobookshop.co.uk/
"Vivien Goldman","Revenge of the She-Punks", "Thorough analysis of female music in the 20th and 21st century, reaching out as far as China and Russia. Fascinating on the way politics can impact on the music of each country. I love the connections she makes between, say, M.I.A. and Poly Styrene. ", "https://twitter.com/eavie_rose", "(EP)", https://to-be-read.co.uk/
